"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Friday, April 01, 2016",,
"",,,,,Occurred,,
"",Date,Time,,,,,
Incident #,,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date,Time,Date Time,,
"",,,,,"Possession of Marijuana, Possession of Drug",,
"",,,,,"Paraphernalia, DUI-Super Extreme w/BAC of .20 or",,
"",,,,,"Higher, DUI-Extreme w/BAC of .15 or more but less",,
16-26111T,4/1,0203 hrs,4/1,0203 hrs,"4/1 0203 hrs than .20, DUI w/BAC of .08 or Higher, DUI-Alcohol,",S Rural Rd/E Lemon St,Cleared by Arrest
"",,,,,"Drug, Vapor, Combination Thereof, Under 21 Years of",,
"",,,,,Age to Drive/Be in physical control of Vehicle,,
"",,,,,"w/Liquor in Body, Minor with Alcohol in Body",,
"",,,,,,,Cleared by
16-26217T,4/1,1150 hrs,4/1,1150 hrs,4/1 1150 hrs Robbery,Social Sciences,
"",,,,,,,Exceptional Means
16-26228T,4/1,1208 hrs,4/1,1208 hrs,"4/1 1208 hrs Trafficking in Stolen Property-1st Degree, Shoplifting",ASU Bookstore,Pending
"",,,,,,College Avenue,
16-26229T,4/1,1217 hrs,4/1,1217 hrs,4/1 1217 hrs Shoplifting,,Cleared by Arrest
"",,,,,,Commons,
16-26242T,4/1,1253 hrs,4/1,1100 hrs,4/1 1200 hrs Theft,Hayden Library,Pending
"",,,,,"Criminal Trespass-1st Degree, Residential Structure,",University Towers,
16-26248T,4/1,1338 hrs,4/1,1338 hrs,4/1 1338 hrs,,Pending
"",,,,,"Criminal Trespass-1st Degree, Fenced residential yard",Apartments,
"",,,,,,4500 Block W,
16-26311W,4/1,1955 hrs,4/1,1955 hrs,4/1 2056 hrs Driving while suspended,,Cleared by Arrest
"",,,,,,University Way N,
"",,,,,"Possession of Marijuana, Possession of Drug",,
16-26331T,4/1,2155 hrs,4/1,2155 hrs,"4/1 2346 hrs Paraphernalia, Unlawful to Sell/Furnish/dispose of/give",Hassayampa Phase 1,Pending
"",,,,,Liquor to an Under Aged Person,,
"",,,,,,S Rural Rd/E Vista Del,
16-26358T,4/1,2322 hrs,4/1,2322 hrs,4/1 2322 hrs Unlawful to Consume Alcohol in Public,,Cleared by Arrest
"",,,,,,Cerro Dr,
16-80000115T,4/1,1700 hrs,4/1,1010 hrs,4/1,1015 hrs,Theft,Walmart,Pending
16-80000135T,4/20,1614 hrs,4/19,2205 hrs,4/20,0330 hrs,Bike Theft,Hayden Library,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
16-32133T,4/21,0554 hrs,4/21,0554 hrs,4/21,0554 hrs,Theft of Means of Transportation,Sun Devil Stadium,Pending
16-32289T,4/21,1450 hrs,2/19,0800 hrs,3/25,0800 hrs,Theft,Manzanita Hall,Pending
16-32343T,4/21,1842 hrs,4/21,1842 hrs,4/21,1902 hrs,Assault,S Rural Rd/E Lemon St,Pending
"",,,,,,,Unlawful to Sell/Furnish/Dispose of/give Liquor to an,,
16-32425T,4/21,2236 hrs,4/21,2236 hrs,4/21,2236 hrs,,Vista Del Sol,Cleared by Arrest
"",,,,,,,Under Aged Person,,
16-80000146T,4/21,1511 hrs,4/20,1130 hrs,4/20,2145 hrs,Bicycle Theft,Bio Design,Pending
"",,,,,Occurred,,,
"",Date,Time,,,,,,
Incident #,,,,From,Thru,,Description,Location Disposition
"",Reported,Reported,,,,,,
"",,,Date,Time,Date,Time,,
16-32467T,4/22,0021 hrs,4/22,0021 hrs,4/22,0021 hrs,Criminal Trespass,Hayden Hall Cleared by Arrest
16-32473T,4/22,0124 hrs,4/22,0120 hrs,4/22,0120 hrs,Criminal Damage,Sonora Center Pending
"",,,,,,,"Possession of Marijuana x3, Possession of Drug",Parking Structure Vista
16-32474T,4/22,0145 hrs,4/22,0145 hrs,4/22,0145 hrs,,Pending
"",,,,,,,Paraphernalia x3,Del Sol
16-32492T,4/22,0425 hrs,4/22,0425 hrs,4/22,0425 hrs,Minor with Alcohol in Body x2,Hassayampa Cleared by Arrest
16-32576T,4/22,1107 hrs,4/22,0200 hrs,4/22,0500 hrs,Criminal Damage,Hassayampa Pending
16-32655T,4/22,1847 hrs,4/22,1847 hrs,4/22,1910 hrs,Criminal Trespass,Memorial Union Cleared by Arrest
16-80000136T,4/22,1736 hrs,4/4,1925 hrs,4/4,2125 hrs,Bicycle Theft,Physical Sciences D Pending
16-80000142T,4/22,0456 hrs,4/21,2300 hrs,4/22,0435 hrs,Bicycle Theft,College of Design South Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,N 1st Ave/ W Fillmore,
16-32757D,4/23,0150 hrs,4/23,0145 hrs,4/23,0304 hrs,Shoplifting,,Cleared By Arrest
"",,,,,,,,St,
16-32762T,4/23,0202 hrs,4/23,0202 hrs,4/23,0259 hrs,Under 21 With Alcohol in the Body,Hassayampa Phase 1,Cleared By Arrest
16-32785T,4/23,0318 hrs,4/23,0354 hrs,4/23,0407 hrs,Public Nuisance,Wells Fargo Arena,Cleared By Arrest
16-32867T,4/23,1053 hrs,4/23,1055 hrs,4/23,1105 hrs,Theft,Palo Verde Main,Unfounded
"",,,,,,,,S Clearview/ E Ulysses,
16-32918P,4/23,1414 hrs,4/23,1414 hrs,4/23,1414 hrs,Driving With a Suspended License,,Cleared By Arrest
"",,,,,,,,Ave,
"",,,,,,,,S Rural Rd/ E Apache,
16-32954T,4/23,1709 hrs,4/23,1700 hrs,4/23,1700 hrs,Racing Exhibition of Speed,,Cleared By Arrest
"",,,,,,,,Blvd,
"",,,,,,,,100 Block of E Rio,
16-32999T,4/23,2015 hrs,4/23,2015 hrs,4/23,2034 hrs,Unlawful to Possess an Open Container,,Cleared By Arrest
"",,,,,,,,Salado PKWY,
16-33045T,4/23,2310 hrs,4/23,2310 hrs,4/23,2349 hrs,Possession Drug Paraphernalia,Parking Lot 16,Cleared By Arrest
16-33051T,4/23,2338 hrs,4/23,2300 hrs,4/23,2330 hrs,Theft,Parking Structure 7,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
16-33073D,4/24,0102 hrs,4/24,0058 hrs,4/24,0156 hrs,Criminal Trespass,Taylor Place,Pending
16-33074T,4/24,0126 hrs,4/24,0126 hrs,4/24,0126 hrs,Minor with Alcohol in Body,Parking Structure 1,Cleared by Arrest
"",,,,,,,"DUI - Alcohol, Drug, Vapor, Combination Thereof,",,
"",,,,,,,,1500 Block E,
16-33095T,4/24,0350 hrs,4/24,0350 hrs,4/24,0350 hrs,"Reckless Driving, Failure to Stop on signal of a Police",,Pending
"",,,,,,,,Broadway Rd,
"",,,,,,,"Officer, Failure to Stop for a Red Light",,
16-33232T,4/24,1345 hrs,4/23,2330 hrs,4/24,1305 hrs,Criminal Damage,Hassayampa,Pending
"",,,,,,,,1600 Block E Hayden,
16-33242T,4/24,1346 hrs,4/24,1346 hrs,4/24,1346 hrs,Possession of Marijuana,,Pending
"",,,,,,,,Ln,
16-33327T,4/24,2001 hrs,4/24,2001 hrs,4/24,2029 hrs,Criminal Trespass,Memorial Union,Cleared by Arrest
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
16-33509T,4/25,0921 hrs,4/15,1700 hrs,4/25,0810 hrs,Burglary,Wells Fargo Arena,Pending
"",,,,,,,,Business Administration,
16-33583T,4/25,1337 hrs,4/25,1120 hrs,4/25,1130 hrs,Bicycle Theft,,Pending
"",,,,,,,,C-Wing,
16-33602T,4/25,1422 hrs,4/25,0300 hrs,4/25,0400 hrs,Sexual Assault,Vista del Sol,Pending
"",,,,,,,,S McAllister Ave / E,
16-33604T,4/25,1430 hrs,4/25,1430 hrs,4/25,1430 hrs,Driving w/ a Suspended License,,Cleared by Arrest
"",,,,,,,,University Dr,
16-33651P,4/25,1835 hrs,4/25,1740 hrs,4/25,1740 hrs,Fail to remain at attended vehicle accident,6800 Blk E Verona,Pending
"",,,,,,,,N 51st Ave / W Cactus,
16-33710W,4/25,2227 hrs,4/25,2227 hrs,4/25,2227 hrs,Driving w/ a Suspended License,,Cleared by Arrest
"",,,,,,,,Rd,
16-80000138P,4/25,0126 hrs,4/13,0900 hrs,4/18,1635 hrs,Bicycle Theft,Peralta Hall,Pending
16-80000139T,4/25,1730 hrs,4/23,1715 hrs,4/25,1715 hrs,Bicycle Theft,Rural Rd,Pending
16-80000140T,4/25,1141 hrs,4/23,1135 hrs,4/23,1135 hrs,Bicycle Theft,Palo Verde West,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Aggravated Assault on Police Officer, Possession of",,
16-33774T,4/26,0209 hrs,4/26,0209 hrs,4/26,0246 hrs,"Drug Paraphernalia, Unlawful Possession of",Language & Literature,Pending
"",,,,,,,Prescription Drugs,,
"",,,,,,,"Interfering with Judicial Proceedings, Use of Electronic",,
16-33930T,4/26,1400 hrs,4/26,1030 hrs,4/25,1210 hrs,,500 Blk E Orange St,Pending
"",,,,,,,"Communication to Terrify, Intimidate, Threaten",,
16-33970T,4/26,1420 hrs,4/26,1420 hrs,4/26,1425 hrs,Theft,Language & Literature,Pending
"",,,,,,,,Sun Devil Fitness,
16-34032D,4/26,2136 hrs,4/26,2030 hrs,4/26,2130 hrs,Theft,,Pending
"",,,,,,,,Center,
"",,,,,,,,1200 Blk E Rio Salado,
16-34044T,4/26,2259 hrs,4/26,2259 hrs,4/26,2320 hrs,Criminal Speeding,,Cleared by Arrest
"",,,,,,,,Pkwy,
16-34045D,4/26,2315 hrs,4/26,2315 hrs,4/26,2315 hrs,Harassment,Taylor Place,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
16-34081T,4/27,0148 hrs,4/27,0148 hrs,4/27,0148 hrs,Under 21 w/ Alcohol in the Body,Vista del Sol,Cleared by Arrest
"",,,,,,,,Parking Structure @,
16-34095T,4/27,0317 hrs,4/27,0317 hrs,4/27,0317 hrs,"Criminal Damage, Trespassing",,Pending
"",,,,,,,,Vista del Sol,
16-34097T,4/27,0406 hrs,4/27,0406 hrs,4/27,0406 hrs,Possession of Stolen Property,Hassyampa Phase I,Cleared by Arrest
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
16-34338T,4/28,0331 hrs,4/27,2100 hrs,4/28,0230 hrs,Criminal Damage,Parking Structure 3,Pending
16-34458T,4/28,1438 hrs,4/28,1438 hrs,4/28,1438 hrs,Assault,Lot 52,Cleared by Arrest
16-34506T,4/28,1944 hrs,4/28,1944 hrs,4/28,1944 hrs,Vehicle Burglary,Parking Structure 4,Pending
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
16-34540W,4/28,2226 hrs,4/28,2226 hrs,4/29,0031 hrs,,Casa de Oro,Pending
"",,,,,,,Paraphernalia,,
16-80000141T,4/28,1409 hrs,4/28,1315 hrs,4/28,1315 hrs,Theft,Hayden Library,Pending
"",,,,,Occurred,,,
"",Date,Time,,,,,,
Incident #,,,,From,Thru,,Description,Location Disposition
"",Reported,Reported,,,,,,
"",,,Date,Time,Date,Time,,
"",,,,,,,"Aggravated DUI, DUI, Driving with a suspended",
"",,,,,,,"license, Possession of Cancelled License, Unlawful to",
"",,,,,,,,E University Dr / S
16-34568T,4/29,0151 hrs,4/29,0151 hrs,4/29,0151 hrs,"Possess open container in vehicle, Display Plates",Pending
"",,,,,,,,Rural Rd
"",,,,,,,"suspended for financial responsibility, no financial",
"",,,,,,,responsibility,
16-34612P,4/29,0816 hrs,4/29,0700 hrs,4/29,0927 hrs,"Assault, Disorderly Conduct, Criminal Damage",Talon Hall Cleared by Arrest
"",,,,,,,,Interdisciplinary
16-34639T,4/29,1031 hrs,12/7,0000 hrs,4/13,1200 hrs,Theft,Science and Technology Pending
"",,,,,,,,Building 2
16-34680T,4/29,1440 hrs,4/29,1200 hrs,4/29,1250 hrs,Criminal Damage,Matthews Hall Pending
"",,,,,,,"Driving with a suspended license, operating vehicle",300 Blk W Washington
16-34787D,4/29,2314 hrs,4/29,2314 hrs,4/30,0022 hrs,,Cleared by Arrest
"",,,,,,,without ignition interlock device required,St
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,Walter Cronkite School,
16-34835D,4/30,0218 hrs,4/30,0218 hrs,4/30,0218 hrs,"Theft, Criminal Damage",,Cleared by Arrest
"",,,,,,,,of Journalism,
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
16-34883T,4/30,0754 hrs,4/30,0754 hrs,4/30,0754 hrs,,Parking Structure 4,Pending
"",,,,,,,Paraphernalia,,
16-35041T,4/30,1650 hrs,4/30,1650 hrs,4/30,1650 hrs,Minor with Alcohol in Body x2,Hassayampa,Cleared by Arrest
"",,,,,,,,E Van Buren St/N 7th,
16-35049D,4/30,1833 hrs,4/30,1833 hrs,4/30,1833 hrs,Excessive speed in a residential area of business district,,Cleared by Arrest
"",,,,,,,,St,
