"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Wednesday, February 01, 2017",,
"",,,,,Occurred,,
"",Date,Time,,,,,
Incident #,,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date,Time,Date Time,,
17-80000032T,2/1,1152 hrs,2/1,1115 hrs,2/1 1125 hrs Theft,Manzanita Hall,Pending
17-80000033T,2/1,1447 hrs,2/1,1040 hrs,2/1 1320 hrs Bike Theft,Design South Building,Pending
17-9590T,2/1,0556 hrs,2/1,0600 hrs,2/1 0600 hrs Theft,Memorial Union,Pending
"",,,,,,University Services,
17-9710T,2/1,1336 hrs,1/27,1600 hrs,1/31 1300 hrs Burglary,,Pending
"",,,,,,Building,
"",,,,,,1100 Block of S Rural,
17-80000034T,2/1,2306 hrs,2/1,1615 hrs,2/1 2255 hrs Bike Theft,,Pending
"",,,,,,Rd,
"",,,,,Occurred,,,
"",Date,Time,,,,,,
Incident #,,,,From,Thru,,Description,Location Disposition
"",Reported,Reported,,,,,,
"",,,Date,Time,Date,Time,,
17-80000039T,2/2,2254 hrs,2/2,2230 hrs,2/2,2230 hrs,Bike Theft,Memorial Union Pending
17-80000035T,2/2,1737 hrs,2/2,1330 hrs,2/2,1420 hrs,Bike Theft,Physical Sciences H Pending
17-80000036T,2/2,2156 hrs,2/1,1700 hrs,2/1,1945 hrs,Bike Theft,Business Administration Pending
"",,,,,,,,Sun Devil Fitness
17-10000T,2/2,1503 hrs,2/2,1430 hrs,2/2,1500 hrs,Theft,Pending
"",,,,,,,,Complex
17-10018T,2/2,1620 hrs,2/2,1245 hrs,2/2,1245 hrs,Indecent Exposure,Parking Structure 2 Pending
17-10020T,2/2,1633 hrs,2/2,0645 hrs,2/2,1230 hrs,Criminal Damage,Parking Structure 1 Pending
17-10049T,2/2,1857 hrs,2/2,1745 hrs,2/2,1830 hrs,Theft,Business Administration Pending
"",,,,,,,,S Perry Ln/ E Rio
17-10061T,2/2,1941 hrs,2/2,1941 hrs,2/2,2045 hrs,Possession of Drug Paraphernalia,Cleared By Arrest
"",,,,,,,,Salado Pky
17-10068T,2/2,1956 hrs,2/2,1930 hrs,2/2,1945 hrs,Theft  of Services,Domino's Pending
"",,,,,,,,E Apache Blvd/ S Paseo
17-10077T,2/2,2031 hrs,2/2,2031 hrs,2/2,2058 hrs,Unlawful to Sell Liquor to an Under Aged Person,Cleared By Arrest
"",,,,,,,,Del Saber
"",,,,,,,,E Apache Blvd/ S
17-10088T,2/2,2106 hrs,2/2,2106 hrs,2/2,2106 hrs,Unlawful to Sell Liquor to an Under Aged Person,Cleared By Arrest
"",,,,,,,,Normal Ave
17-10098T,2/2,2135 hrs,2/2,2135 hrs,2/2,2223 hrs,Reckless Driving,Parking Lot 59 Cleared By Arrest
17-80000039T,2/2,2254 hrs,2/2,2230 hrs,2/2,2230 hrs,Bike Theft,
17-14963T,2/17,2340 hrs,2/17,2340 hrs,2/17,2340 hrs,,Sonora  Center,Pending
"",,,,,,,"Paraphernalia x2, Possession of Marijuana for Sale x2",,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
17-15136T,2/18,1211 hrs,2/18,0800 hrs,2/18,1130 hrs,Vehicle Burglary,Parking Structure Tyler,Pending
"",,,,,Occurred,,,
"",Date,Time,,,,,,
Incident #,,,,From,Thru,,Description,Location Disposition
"",Reported,Reported,,,,,,
"",,,Date,Time,Date,Time,,
17-15273T,2/19,0203 hrs,2/19,0203 hrs,2/19,0203 hrs,Minor with Alcohol in body,Stauffer Communication Cleared by Arrest
"",,,,,,,,S Jentilly Ln /E Spence
17-15443T,2/19,2104 hrs,2/19,2104 hrs,2/19,2104 hrs,Driving with a suspended/cancelled/revoked license,Cleared by Arrest
"",,,,,,,,Ave
"",,,,,,,"Possession of Marijuana, Possession of Drug",W 12th St/S Farmer
17-15467T,2/19,2232 hrs,2/19,2232 hrs,2/19,2232 hrs,,Cleared by Arrest
"",,,,,,,Paraphernalia,Ave
17-15477T,2/19,2328 hrs,2/19,2328 hrs,2/19,2328 hrs,Criminal Damage,Parking Structure 1 Pending
17-80000074T,2/1,1945 hrs,2/19,1925 hrs,2/19,1925 hrs,Bike Theft,Vista Del Sol Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
17-15492P,2/20,0044 hrs,2/10,2300 hrs,2/20,1800 hrs,Burglary,Century Hall,Pending
"",,,,,,,"DUI w/BAC of .08 or Higher, DUI-Alcohol, Drug,",E Apache Blvd/S,
17-15497T,2/20,0152 hrs,2/20,0152 hrs,2/20,0152 hrs,,,Cleared by Arrest
"",,,,,,,"Vapor, Combination Thereof",Dorsey Ln,
17-15618T,2/20,1238 hrs,2/20,1237 hrs,2/20,1237 hrs,Trespassing,Manzanita Hall,Cleared by Arrest
17-15643T,2/20,1545 hrs,12/11,1000 hrs,1/15,2000 hrs,Burglary,Manzanita Hall,Pending
17-15696T,2/20,2009 hrs,2/15,1400 hrs,2/15,1400 hrs,Fraudulent Schemes and Artifices,Adelphi Commons 2,Pending
17-15714T,2/20,2151 hrs,2/20,2151 hrs,2/20,2221 hrs,Indecent Exposure,Hassayampa Phase 2,Pending
17-80000068T,2/20,2131 hrs,2/20,1040 hrs,2/20,1200 hrs,Bike Theft,Memorial Union,Pending
17-15659T,2/20,1650 hrs,2/20,1430 hrs,2/20,1630 hrs,Theft,Hayden Library,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
17-15937T,2/21,1630 hrs,2/21,1400 hrs,2/21,1620 hrs,Theft,Language and Literature,Pending
"",,,,,,,,E Van Buren St/N 7th,
17-15964T,2/21,1910 hrs,2/21,1910 hrs,2/21,1910 hrs,Excessive Speeding,,Cleared by Arrest
"",,,,,,,,St,
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
17-16012T,2/21,2142 hrs,2/21,2142 hrs,2/21,2142 hrs,,Sonora Hall,Pending
"",,,,,,,"Paraphernalia, Possession of Narcotic Drugs",,
"",,,,,,,,Schwada Classroom,
17-80000070T,2/21,1700 hrs,2/21,1900 hrs,2/21,1900 hrs,Bike Theft,,Pending
"",,,,,,,,Office Building,
17-8000069T,2/21,1628 hrs,2/20,1920 hrs,2/21,0000 hrs,Theft,Memorial Union,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
17-80000076T,2/22,2117 hrs,2/22,1625 hr,2/22,1900 hrs,Bike Theft,Neeb Hall,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Possession of Narcotics, Possession of Marijuana,",,
17-16388T,2/23,0105 hrs,2/23,0105 hrs,2/23,0105 hrs,,Villas at Vista Del Sol,Pending
"",,,,,,,Possession of Drug Paraphernalia,,
"",,,,,,,"Disorderly Conduct x2, False Reporting to Law",800 Block E Apache,
17-16390T,2/23,0112 hrs,2/23,0112 hrs,2/23,0316 hrs,,,Cleared by Arrest
"",,,,,,,Enforcement Agency,Blvd,
"",,,,,,,,Physical Sciences H-,
17-16541T,2/23,1220 hrs,2/8,2015 hrs,2/8,2030 hrs,Theft,,Pending
"",,,,,,,,Wing,
"",,,,,,,,S Power Rd/E Old,
17-16678P,2/23,2147 hrs,2/23,2147 hrs,2/24,0054 hrs,"DUI-Alcohol, Drug, Vapor, Combination Thereof",,Pending
"",,,,,,,,Pecos Rd,
17-80000072T,2/23,1203 hrs,2/20,1615 hrs,2/20,1630 hrs,Theft,Matthews Center,Pending
17-80000073P,2/23,1300 hrs,2/23,0945 hrs,2/23,1130 hrs,Vehicle Burglary,Student Union Annex,Pending
17-80000075T,2/23,1752 hrs,2/23,1445 hrs,2/23,1618 hrs,Bike Theft,Payne Hall,Pending
17-80000078T,2/23,1122 hrs,2/19,1800 hrs,2/19,2000 hrs,Bike Theft,McAllister Mall,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
17-16745T,2/24,0056 hrs,2/24,0056 hrs,2/24,0206 hrs,,Parking Area 59,Pending
"",,,,,,,Paraphernalia,,
17-16747T,2/24,0100 hrs,2/24,0100 hrs,2/24,0100 hrs,Minor with alcohol in body,Hassayampa Phase 1,Cleared by Arrest
17-16830T,2/24,0830 hrs,2/23,1400 hrs,2/23,1700 hrs,Fraudulent use of a credit card,Memorial Union,Pending
"",,,,,,,,E Gammage Pkwy/S,
17-16966T,2/24,1919 hrs,2/24,1520 hrs,2/24,1530 hrs,Hit and Run,,Pending
"",,,,,,,,Forest Ave,
17-17007W,2/24,2122 hrs,2/24,2122 hrs,2/24,2122 hrs,Possession of Drug Paraphernalia,Las Casas,Pending
"",,,,,,,"Possession of Marijuana x2, Possession of Drug",,
"",,,,,,,"Paraphernalia x2, Minor with alcohol in body, Unlawful",,
17-17023T,2/24,2206 hrs,2/24,2206 hrs,2/24,2206 hrs,,Parking Structure 5,Pending
"",,,,,,,to sell/furnish/dispose of/give liquor to an under aged,,
"",,,,,,,person,,
"",,,,,,,Unlawful to sell/furnish/dispose of/give liquor to an,,
17-17060T,2/24,2346 hrs,2/24,2346 hrs,2/25,0002 hrs,,Parking Structure 5,Cleared by Arrest
"",,,,,,,under aged person,,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,Unlawful to sell/furnish/dispose of/give liquor to an,,
17-,2/25,0015 hrs,2/25,0015 hrs,2/25,0030 hrs,,University House,Cleared by arrest
"",,,,,,,under aged person,,
"",,,,,,,Unlawful to sell/furnish/dispose of/give liquor to an,,
17-17075T,2/25,0019 hrs,2/25,0019 hrs,2/25,0019 hrs,,University House,Cleared by arrest
"",,,,,,,under aged person,,
17-17079T,2/25,0024 hrs,2/25,0024 hrs,2/25,0200 hrs,Possession of Drug Paraphernalia,Villas at Vista Del Sol,Cleared by arrest
"",,,,,,,Unlawful to sell/furnish/dispose of/give liquor to an,,
17-17081T,2/25,0033 hrs,2/25,0033 hrs,2/25,0052 hrs,,University House,Cleared by arrest
"",,,,,,,"under aged person, Minor with alcohol in body",,
"",,,,,,,"DUI w/BAC of .08 or higher, DUI-Alcohol, Drug,",,
"",,,,,,,,Urban Systems,
17-17108T,2/25,0210 hrs,2/25,0210 hrs,2/25,0400 hrs,"Vapor, Combination Thereof; Operating, sitting,",,Pending
"",,,,,,,,Engineering,
"",,,,,,,parking a vehicle in a bike lane,,
"",,,,,,,,E University Dr/S Rural,
17-17122T,2/25,0317 hrs,2/25,0317 hrs,2/25,0521 hrs,Possession of Drug Paraphernalia,,Cleared by arrest
"",,,,,,,,Rd,
17-17257D,2/25,1607 hrs,2/25,1600 hrs,2/25,1600 hrs,Shoplifting,Starbucks,Pending
17-17276T,2/25,1812 hrs,2/25,1812 hrs,2/25,1838 hrs,Minor with alcohol in body,Hassayampa F-Wing,Cleared by arrest
"",,,,,,,,Sun Devil Fitness,
17-17278T,2/25,1835 hrs,2/25,1835 hrs,2/25,1835 hrs,Minor with alcohol in body,,Cleared by arrest
"",,,,,,,,Center,
"",,,,,,,,Sun Devil Fitness,
17-17291T,2/25,1847 hrs,2/25,1847 hrs,2/25,1847 hrs,Aggravated Assault,,Pending
"",,,,,,,,Complex Fields,
"",,,,,,,"Unlawful to consume alcohol in public, Minor with",Sun Devil Fitness,
17-17294T,2/25,1904 hrs,2/25,1904 hrs,2/25,1904 hrs,,,Cleared by arrest
"",,,,,,,alcohol in body,Center,
"",,,,,,,,Sun Devil Fitness,
17-17297T,2/25,1908 hrs,2/25,1908 hrs,2/25,1908 hrs,Minor with alcohol in body,,Cleared by arrest
"",,,,,,,,Center,
"",,,,,,,Unlawful to sell/furnish/dispose of/give liquor to an,
17-17300T,2/25,1928 hrs,2/25,1928 hrs,2/25,1950 hrs,,Hassayampa Phase 1 Cleared by arrest
"",,,,,,,"under aged person, Minor with alcohol in body",
"",,,,,,,,Sun Devil Fitness
17-17301T,2/25,1934 hrs,2/25,1934 hrs,2/25,1934 hrs,Minor with alcohol in body,Cleared by arrest
"",,,,,,,,Center
"",,,,,,,,Sun Devil Fitness
17-17304T,2/25,1947 hrs,2/25,1947 hrs,2/25,1947 hrs,Minor with alcohol in body,Cleared by arrest
"",,,,,,,,Center
"",,,,,,,Unlawful to sell/furnish/dispose of/give liquor to an,
17-17307T,2/25,1950 hrs,2/25,1950 hrs,2/25,2007 hrs,,Hassayampa Phase 1 Cleared by arrest
"",,,,,,,under aged person,
"",,,,,,,Unlawful to sell/furnish/dispose of/give liquor to an,
17-17309T,2/25,1955 hrs,2/25,1955 hrs,2/25,1955 hrs,,Hassayampa Phase 1 Cleared by arrest
"",,,,,,,under aged person,
"",,,,,,,Unlawful to sell/furnish/dispose of/give liquor to an,
17-17317T,2/25,2025 hrs,2/25,2025 hrs,2/25,2057 hrs,,Sun Devil Fitness Center Cleared by arrest
"",,,,,,,under aged person,
"",,,,,,,,Sun Devil Fitness
17-17321T,2/25,2035 hrs,2/25,2035 hrs,2/25,2035 hrs,Minor with alcohol in body,Cleared by arrest
"",,,,,,,,Center
"",,,,,,,,Sun Devil Fitness
17-17324T,2/25,2041 hrs,2/25,2041 hrs,2/25,2041 hrs,Minor with alcohol in body,Cleared by arrest
"",,,,,,,,Center
"",,,,,,,,Sun Devil Fitness
17-17331T,2/25,2104 hrs,2/25,2104 hrs,2/25,2104 hrs,Minor with alcohol in body,Cleared by arrest
"",,,,,,,,Center
17-17374T,2/25,2341 hrs,2/25,2341 hrs,2/26,0044 hrs,Minor with alcohol in body x3,Towers Apartments Cleared by arrest
17-80000079T,2/25,1729 hrs,2/24,1715 hrs,2/25,1715 hrs,Bike Theft,Palo Verde West Pending
17-80000080T,2/25,2110 hrs,2/22,2200 hrs,2/23,2100 hrs,Bike Theft,Palo Verde West Pending
17-80000083T,2/25,0836 hrs,2/24,1345 hrs,2/24,1445 hrs,Bike Theft,500 Block E Orange St Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
17-17408T,2/26,0225 hrs,2/26,0225 hrs,2/26,0647 hrs,,E 7th St/S Forest Ave,Pending
"",,,,,,,"Paraphernalia, Public Nuisance",,
"",,,,,,,,S College Ave/E,
17-17409T,2/26,0223 hrs,2/26,0223 hrs,2/26,0223 hrs,Driving with a suspended/cancelled/revoked license,,Cleared by arrest
"",,,,,,,,University Dr,
17-17513T,2/26,1303 hrs,2/25,2000 hrs,2/26,0800 hrs,Vehicle Burglary,Parking Structure 3,Pending
17-17555T,2/26,1700 hrs,2/25,2000 hrs,2/26,1700 hrs,Criminal Damage,Best C,Pending
17-17572T,2/26,1950 hrs,2/26,1950 hrs,2/26,1950 hrs,Theft of services,Hassayampa Phase 2,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
17-17760T,2/27,1040 hrs,2/27,1015 hrs,2/27,1015 hrs,Threatening or Intimidating,Life Science E Wing,Pending
"",,,,,,,,Sun Devil Fitness,
17-17771T,2/27,1155 hrs,2/27,1010 hrs,2/27,1120 hrs,Burglary,,Pending
"",,,,,,,,Center,
"",,,,,,,,Physical Sciences H-,
17-80000081T,2/27,1346 hrs,2/27,1000 hrs,2/27,1230 hrs,Bike Theft,,Pending
"",,,,,,,,Wing,
"",,,,,,,,Business Administration,
17-80000086T,2/28,2055 hrs,2/28,1330 hrs,2/28,1630 hrs,Bike Theft,,Pending
"",,,,,,,,C-Wing,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
17-18091T,2/28,1137 hrs,2/28,1137 hrs,2/28,1137 hrs,Criminal Damage,Hayden Library,Pending
17-18156T,2/28,1651 hrs,2/23,1200 hrs,2/23,1730 hrs,Burglary,Karsten Golf Course,Pending
17-18192T,2/28,1936 hrs,2/28,1936 hrs,2/28,1936 hrs,Criminal Trespass,Memorial Union,Cleared by Arrest
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
17-18261T,2/28,2257 hrs,2/25,2257 hrs,2/28,2257 hrs,,Parking Structure 7,Pending
"",,,,,,,Paraphernalia,,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
